animal_id,name,datetime,datetime2,found_location,intake_type,intake_condition,animal_type,sex_upon_intake,age_upon_intake,breed,color
A664264,*Mason,2013-10-01T11:51:00.000,2013-10-01T11:51:00.000,4915 Yager Ln in Austin (TX),Stray,Normal,Cat,Intact Male,2 months,Domestic Shorthair Mix,Brown Tabby
A664265,*Dixon,2013-10-01T11:51:00.000,2013-10-01T11:51:00.000,4915 Yager Ln in Austin (TX),Stray,Normal,Cat,Intact Male,2 months,Domestic Shorthair Mix,Brown Tabby
A664267,*Asti,2013-10-01T11:59:00.000,2013-10-01T11:59:00.000,12501 Tech Ridge Blvd in Austin (TX),Stray,Normal,Dog,Intact Female,4 months,Pit Bull Mix,White/Black
A664268,*Kochka,2013-10-01T12:05:00.000,2013-10-01T12:05:00.000,Austin (TX),Stray,Normal,Cat,Intact Female,3 years,Russian Blue Mix,Blue
A664271,,2013-10-01T12:35:00.000,2013-10-01T12:35:00.000,Spirit Of Texas in Austin (TX),Stray,Normal,Cat,Intact Female,1 week,Domestic Shorthair Mix,Orange Tabby
A664272,*Grace,2013-10-01T13:12:00.000,2013-10-01T13:12:00.000,12005 Garden Grove Dr in Austin (TX),Stray,Normal,Dog,Spayed Female,1 year,Cairn Terrier Mix,Brown
A664273,Buffy,2013-10-01T13:32:00.000,2013-10-01T13:32:00.000,Berkman Dr & Briarcliff Blvd in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Dachshund/Chihuahua Shorthair,Brown
A639030,Cate,2013-10-01T13:36:00.000,2013-10-01T13:36:00.000,46Th And Ave G in Austin (TX),Stray,Normal,Dog,Spayed Female,7 years,German Shepherd Mix,Tan
A664253,Moose,2013-10-01T13:44:00.000,2013-10-01T13:44:00.000,Austin (TX),Public Assist,Normal,Dog,Neutered Male,2 years,Black/Tan Hound Mix,Black/Brown
A664274,Estrella,2013-10-01T13:48:00.000,2013-10-01T13:48:00.000,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,8 years,Siberian Husky Mix,Buff
